ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 02/06/2025;COBERTURA;IMPORTE AFILIADO
246;prednisolona+fenilefrina;PREDNEFRIN 0.12%;susp.oft.x 10 ml;Abbvie Allergan;$ 2359.35;80%;$ 471.87
245;prednisolona+fenilefrina;PREDNEFRIN FORTE;susp.oft.x 10 ml;Abbvie Allergan;$ 27923.5;80%;$ 5584.7
26301;tobramicina;TOBRAGAN;0.3% gts.oft.x 5 ml;Abbvie Allergan;$ 468.44;60%;$ 187.38
163;atropina,sulfato;ALCON ATROPINA 1%;1% sol.oft.x 5 ml;Alcon;$ 10881.17;50%;$ 5440.59
174;nafazolina+feniramina;MIRUS;sol.oft.x 15 ml;Alcon;$ 9610.6;50%;$ 4805.3
35520;polietilenglicol+propilenglicol;SYSTANE;drop tainer fco.x 15 ml;Alcon;$ 21961.76;50%;$ 10980.88
47668;polietilenglicol+propilenglicol;SYSTANE GEL EN GOTAS;gel oft.en gotas x 10 ml;Alcon;$ 22568.77;50%;$ 11284.39
44216;polietilenglicol+propilenglicol;SYSTANE ULTRA;sol.oft.estéril x 10 ml;Alcon;$ 21961.76;50%;$ 10980.88
61265;polietilenglicol+propilenglicol+;SYSTANE HIDRATACION SP;sol.oft.estéril x 10 ml;Alcon;$ 21961.77;50%;$ 10980.89
140;proparacaína;ANESTALCON;fco.x 15 ml;Alcon;$ 10291.32;50%;$ 5145.66
46655;propilenglicol;SYSTANE BALANCE;sol.oft.estéril x 10 ml;Alcon;$ 22568.77;50%;$ 11284.39
62972;propilenglicol;SYSTANE COMPLETE SP;sol.oft.x 10 ml;Alcon;$ 21961.77;50%;$ 10980.89
56594;propilenglicol;SYSTANE COMPLETE;sol.oft.x 10 ml;Alcon;$ 21961.77;50%;$ 10980.89
138;tropicamida;ALCON MYDRIL;1% sol.oft.x 5 ml;Alcon;$ 11020.45;50%;$ 5510.23
46381;adapaleno;SINAC;0.3% gel x 30 g;Andr¿maco;$ 29471.81;50%;$ 14735.91
299;betametasona+gentamic.+miconazol;MACRIL;cr.x 20 g;Andr¿maco;$ 13023.97;50%;$ 6511.99
39726;betametasona+salicílico,ác.;BETASALIC;loc.x 40 ml;Andr¿maco;$ 10760.6;50%;$ 5380.3
33250;betametasona+salicílico,ác.;BETASALIC;ung.x 15 g;Andr¿maco;$ 11897.29;50%;$ 5948.65
17036;butamirato,citrato;TALASA NF;jbe.x 120 ml;Andr¿maco;$ 13232.39;50%;$ 6616.2
23212;clobetasol;SALAC;cr.x 20 g;Andr¿maco;$ 10867.54;50%;$ 5433.77
50120;clobetasol;SALAC;cr.x 30 g;Andr¿maco;$ 14029.33;50%;$ 7014.67
23213;clobetasol;SALAC;loc.x 40 ml;Andr¿maco;$ 12119.8;50%;$ 6059.9
43829;clobetasol;SALAC;shamp.x 140 ml;Andr¿maco;$ 32670.08;50%;$ 16335.04
23211;clobetasol;SALAC;ung.x 20 g;Andr¿maco;$ 9682.19;50%;$ 4841.1
48143;fluconazol;FLUPEC;150 mg comp.x 2;Andr¿maco;$ 14369.54;50%;$ 7184.77
48144;fluconazol;FLUPEC;150 mg comp.x 4;Andr¿maco;$ 25610.51;50%;$ 12805.26
48145;fluconazol;FLUPEC;150 mg comp.x 8;Andr¿maco;$ 43913.97;50%;$ 21956.99
42663;fusídico,ác.;ACIFUSIN;cr.x 15 g;Andr¿maco;$ 12841.16;60%;$ 5136.46
42665;fusídico,ác.+betametasona;ACIFUSIN B;cr.x 15 g;Andr¿maco;$ 14779.9;50%;$ 7389.95
38925;hidrocortisona;DEMACORT;cr.x 15 g;Andr¿maco;$ 8555.28;50%;$ 4277.64
50965;hidrocortisona+asoc.;HIPOGLOS CON HIDROCORTISONA;pda.x 15 g;Andr¿maco;$ 6453.59;50%;$ 3226.8
5657;ketoconazol;FITONAL;comp.x 20;Andr¿maco;$ 11854.33;40%;$ 7112.6
5718;ketoconazol;FITONAL;cr.x 30 g;Andr¿maco;$ 12481.06;40%;$ 7488.64
36791;levocetirizina;LEVOMINE;5 mg comp.x 10;Andr¿maco;$ 7926.03;50%;$ 3963.02
44841;levocetirizina;LEVOMINE;5 mg comp.x 30;Andr¿maco;$ 20187.75;50%;$ 10093.88
12137;mebendazol;MEBUTAR 200;comp.x 6;Andr¿maco;$ 10225.56;50%;$ 5112.78
12138;mebendazol;MEBUTAR 200;susp.x 30 ml;Andr¿maco;$ 11579.77;50%;$ 5789.89
302;mebendazol+tinidazol;MEBUTAR COMPUESTO;comp.rec.x 6;Andr¿maco;$ 9624.32;50%;$ 4812.16
32780;mebendazol+tinidazol;MEBUTAR COMPUESTO;pvo.susp.oral x 18 g;Andr¿maco;$ 10929.3;50%;$ 5464.65
19976;miconazol;DERALBINE;cr.x 40 g;Andr¿maco;$ 13428.96;40%;$ 8057.38
19978;miconazol;DERALBINE;loc.x 40 ml;Andr¿maco;$ 14211.02;40%;$ 8526.61
26902;miconazol;DERALBINE;pvo.en spray x 90 g;Andr¿maco;$ 25234.03;40%;$ 15140.42
19977;miconazol;DERALBINE;pvo.x 40 g;Andr¿maco;$ 15124.87;40%;$ 9074.92
304;naproxeno;NAPRUX;250 mg comp.x 20;Andr¿maco;$ 13381.75;40%;$ 8029.05
22867;naproxeno;NAPRUX;250 mg comp.x 50;Andr¿maco;$ 28836.36;40%;$ 17301.82
636;naproxeno;NAPRUX;500 mg comp.x 20;Andr¿maco;$ 27025.89;40%;$ 16215.53
38821;naproxeno;NAPRUX;500 mg comp.x 50;Andr¿maco;$ 58494.87;40%;$ 35096.92
41754;naproxeno;NAPRUX RAPID;550 mg comp.rec.ran.x 10;Andr¿maco;$ 12975.05;40%;$ 7785.03
41755;naproxeno;NAPRUX RAPID;550 mg comp.rec.ran.x 20;Andr¿maco;$ 25867.01;40%;$ 15520.21
40274;naproxeno+carisoprodol;NAPRUX DISTEN;comp.x 10;Andr¿maco;$ 9921.98;50%;$ 4960.99
40275;naproxeno+carisoprodol;NAPRUX DISTEN;comp.x 30;Andr¿maco;$ 28702.34;50%;$ 14351.17
49541;salicílico,ác.+asoc.;ACNOXIN;loc.x 140 ml;Andr¿maco;$ 16257.33;50%;$ 8128.67
49916;salicílico,ác.+asoc.;ACNOXIN;spray x 140 ml;Andr¿maco;$ 19835.35;50%;$ 9917.68
42664;sodio,fusidato;ACIFUSIN;ung.x 15 g;Andr¿maco;$ 11056.68;60%;$ 4422.67
15129;tretinoína+asoc.;HIDROSAM T;0.025% env.x 20 g;Andr¿maco;$ 25467.12;50%;$ 12733.56
15130;tretinoína+asoc.;HIDROSAM T;0.050% env.x 20 g;Andr¿maco;$ 26804.51;50%;$ 13402.26
24660;tretinoína+asoc.;HIDROSAM T;0.100% env.x 20 g;Andr¿maco;$ 30146.35;50%;$ 15073.18
4758;vit.a+bencetonio,cl.+asoc.;HIPOGLOS;pda.x 100 g;Andr¿maco;$ 26025.5;40%;$ 15615.3
9422;vit.a+bencetonio,cl.+asoc.;HIPOGLOS;pda.x 50 g;Andr¿maco;$ 13343.7;40%;$ 8006.22
10207;zinc,undecilenato+asoc.;HIPOGLOS CICATRIZANTE;pvo.x 40 g;Andr¿maco;$ 13093.52;50%;$ 6546.76
28144;alendronato;MARVIL;70 mg comp.x 4;Ariston;$ 19777.91;60%;$ 7911.16
30358;alendronato;SILIDRAL 70;70 mg comp.x 4;Ariston;$ 13818.96;60%;$ 5527.58
46153;allopurinol;ALLOPURINOL HOUDE;300 mg comp.x 30;Ariston;$ 6851.46;60%;$ 2740.58
32127;allopurinol+colchicina;ARTREX RETARD;cáps.x 20;Ariston;$ 13049.53;60%;$ 5219.81
16203;allopurinol+colchicina;ARTREX RETARD;cáps.x 40;Ariston;$ 18598.78;60%;$ 7439.51
8587;arginina;LACORENE;fco.x 200 ml c/dosif.;Ariston;$ 18713.26;50%;$ 9356.63
55753;aripiprazol;ARISDAR;10 mg comp.x 30;Ariston;$ 21001.31;50%;$ 10500.66
54680;aripiprazol;ARISDAR;15 mg comp.x 30;Ariston;$ 31196.01;50%;$ 15598.01
54679;aripiprazol;ARISDAR;5 mg comp.x 30;Ariston;$ 19505.23;50%;$ 9752.62
54681;baclofeno;BACLOX;10 mg comp.x 60;Ariston;$ 19967.92;50%;$ 9983.96
60101;baclofeno;BACLOX;25 mg comp.x 30;Ariston;$ 24959.67;50%;$ 12479.84
11798;butetamato;HELIPHENICOL;susp.x 120 ml;Ariston;$ 8939.06;50%;$ 4469.53
48768;butimerina+asoc.;BUTIMERIN;pvo.x 20 g;Ariston;$ 12212.68;50%;$ 6106.34
20563;calcio,acetato;ROYEN;500 mg cáps.x 120;Ariston;$ 294608.99;40%;$ 176765.39
18981;calcio,carbonato;CALCIONAL;naranja comp.x 60;Ariston;$ 14684.76;60%;$ 5873.9
35071;calcio,citrato;CALCIONAL CITRATO;500 mg nja.comp.mast.x30;Ariston;$ 7906.64;60%;$ 3162.66
35072;calcio,citrato;CALCIONAL CITRATO;500 mg nja.comp.mast.x60;Ariston;$ 14566.46;60%;$ 5826.58
33558;calcio,citrato+vit.d3;CALCIONAL D3;comp.x 30;Ariston;$ 8460.76;40%;$ 5076.46
53739;calcio,citrato+vit.d3;CALCIONAL D3 400;comp.x 30;Ariston;$ 9837.35;40%;$ 5902.41
53740;calcio,citrato+vit.d3;CALCIONAL D3 400;comp.x 60;Ariston;$ 17714.85;40%;$ 10628.91
33557;calcio,citrato+vit.d3;CALCIONAL D3;comp.x 60;Ariston;$ 15197.44;40%;$ 9118.46
18622;castaño de indias+asoc.;CASTAÑA DE INDIA S.C.;comp.rec.x 30;Ariston;$ 15302.42;50%;$ 7651.21
8576;castaño de indias+asoc.;CASTAÑA DE INDIA S.C.;sol.x 30 ml;Ariston;$ 10169.51;50%;$ 5084.76
27676;ciprofloxacina;FLORAXINA;gts.oft.x 5 ml;Ariston;$ 6219.44;60%;$ 2487.78
56798;clomipramina;CLOMISAL DIVIDOSIS;comp.ran.divids.x 20;Ariston;$ 16710.59;50%;$ 8355.3
56799;clomipramina;CLOMISAL DIVIDOSIS;comp.ran.divids.x 30;Ariston;$ 25066;50%;$ 12533
8577;colchicina;COLCHICINA HOUDE;comp.x 20;Ariston;$ 11915.99;60%;$ 4766.4
24160;colchicina;COLCHICINA HOUDE;comp.x 60;Ariston;$ 31200.38;60%;$ 12480.15
43897;condroitín,sulfato+glucosamina;OSTATAC DUO;sob.x 30;Ariston;$ 51492.15;50%;$ 25746.08
33509;dexametasona;DEXATOTAL;4 mg comp.ran.x 10;Ariston;$ 5951.72;50%;$ 2975.86
33510;dexametasona;DEXATOTAL;4 mg comp.ran.x 20;Ariston;$ 11316.65;50%;$ 5658.33
33511;dexametasona;DEXATOTAL;8 mg comp.ran.x 10;Ariston;$ 12562.68;50%;$ 6281.34
48347;dexametasona;DEXATOTAL;8 mg comp.ran.x 20;Ariston;$ 22310.06;50%;$ 11155.03
33512;dexametasona;DEXATOTAL;8 mg comp.ran.x 30;Ariston;$ 29792.32;50%;$ 14896.16
24423;dexametasona+neomicina+asoc.;NEOSONA 5;gts.oft.x 10 ml;Ariston;$ 6498.86;50%;$ 3249.43
24424;dexametasona+neomicina+asoc.;NEOSONA 100;gts.oft.x 10 ml;Ariston;$ 9350.78;50%;$ 4675.39
59412;dexlansoprazol;ARIGASTRIL 60;cáps.x 15;Ariston;$ 25869.23;40%;$ 15521.54
59410;dexlansoprazol;ARIGASTRIL 30;cáps.x 15;Ariston;$ 18459.94;40%;$ 11075.96
59413;dexlansoprazol;ARIGASTRIL 60;cáps.x 30;Ariston;$ 49748.75;40%;$ 29849.25
59411;dexlansoprazol;ARIGASTRIL 30;cáps.x 30;Ariston;$ 34829.96;40%;$ 20897.98
25982;diclofenac sódico;NATURA FENAC;gts.oft.x 5 ml;Ariston;$ 10133.03;40%;$ 6079.82
51320;duloxetina;DUERIX;30mg cáps.lib.mod.x 14;Ariston;$ 20842.25;50%;$ 10421.13
51321;duloxetina;DUERIX;60mg cáps.lib.mod.x28;Ariston;$ 41702.81;50%;$ 20851.41
588;escina+asoc.;VENOSTASIN;gel x 50 g;Ariston;$ 16094.46;50%;$ 8047.23
43823;escitalopram;EX3;10 mg comp.x 30;Ariston;$ 25713.7;50%;$ 12856.85
43825;escitalopram;EX3;20 mg comp.x 30;Ariston;$ 48276.55;50%;$ 24138.28
46249;febuxostat;FEBUXTAT;80 mg comp.ran.x 30;Ariston;$ 55018.46;50%;$ 27509.23
11796;fenilefrina+asoc.;ALZATEN DISGRELENT;grag.x 20;Ariston;$ 10365.43;50%;$ 5182.72
530;fenilefrina+asoc.;ALZATEN;gts.x 20 ml;Ariston;$ 10050.58;50%;$ 5025.29
8573;fenobarbital;ALEPSAL;comp.x 20;Ariston;$ 6898.04;80%;$ 1379.61
12624;fenobarbital;ALEPSAL;comp.x 60;Ariston;$ 17031.13;80%;$ 3406.23
37375;finasteride;Q-PROST;5 mg comp.x 30;Ariston;$ 21174.99;50%;$ 10587.5
48603;gabapentin;ARAPENTIN;100 mg cáps.x 30;Ariston;$ 13274.22;60%;$ 5309.69
48604;gabapentin;ARAPENTIN;300 mg cáps.x 30;Ariston;$ 23816.87;60%;$ 9526.75
48606;gabapentin;ARAPENTIN;600 mg comp.x 30;Ariston;$ 28840.05;60%;$ 11536.02
27220;glucosamina;OSTATAC;1500 mg sob.x 20;Ariston;$ 22084.42;50%;$ 11042.21
38531;hialuronato sódico+asoc.;IURONICO BIOTIC;cr.x 30 g;Ariston;$ 21022.01;50%;$ 10511.01
36685;hialurónico,ác.;IURONICODERM;cr.x 30 g;Ariston;$ 17571.55;50%;$ 8785.78
43311;hialurónico,ác.;IURONICODERM;cr.x 90 g;Ariston;$ 39808.88;50%;$ 19904.44
28379;hidralazina;HYDRAPRES;50 mg comp.x 30;Ariston;$ 51410.91;50%;$ 25705.46
24428;hidroxipropilmetilcelulosa;NATURA LAGRIMAS;gts.oft.x 15 ml;Ariston;$ 8485.97;50%;$ 4242.99
32364;hierro+vit.b12+fólico,ác.;TENVIC;comp.rec.x 20;Ariston;$ 5288.46;50%;$ 2644.23
43146;hierro+vit.b12+fólico,ác.;TENVIC;comp.rec.x 30;Ariston;$ 16976.7;50%;$ 8488.35
42335;ibandrónico,ác.;ADROMUX;150 mg comp.x 1;Ariston;$ 27160.34;50%;$ 13580.17
42907;ibandrónico,ác.;SILIDRAL UNO;150 mg comp.x 1;Ariston;$ 23121.71;50%;$ 11560.86
48620;ibandrónico,ác.;ADROMUX;150 mg comp.x 3;Ariston;$ 63033.55;50%;$ 31516.78
55755;lacosamida;LACOMAX;100 mg comp.x 30;Ariston;$ 72672.9;50%;$ 36336.45
55756;lacosamida;LACOMAX;200 mg comp.x 30;Ariston;$ 131004.25;50%;$ 65502.13
55754;lacosamida;LACOMAX;50 mg comp.x 30;Ariston;$ 34253.66;50%;$ 17126.83
38303;leflunomida;LEFLUNOMIDA SC;20 mg comp.rec.x 30;Ariston;$ 30645.12;50%;$ 15322.56
38738;litio,carbonato;CEGLUTION XR;comp.x 30;Ariston;$ 11251.1;50%;$ 5625.55
38739;litio,carbonato;CEGLUTION XR;comp.x 60;Ariston;$ 20977.12;50%;$ 10488.56
31104;litio,carbonato;CEGLUTION 300;tab.x 20;Ariston;$ 6606.82;50%;$ 3303.41
544;litio,carbonato;CEGLUTION 300;tab.x 50;Ariston;$ 15959.9;50%;$ 7979.95
41350;litio,carbonato;CEGLUTION 300;tab.x 90;Ariston;$ 25106.69;50%;$ 12553.35
43517;memantine;TONIBRAL;10 mg comp.rec.ran.x 30;Ariston;$ 28447.63;50%;$ 14223.82
51921;memantine;TONIBRAL XR;14 mg cáps.x 30;Ariston;$ 33486.28;50%;$ 16743.14
49536;memantine;TONIBRAL 20;20 mg comp.rec.ran.x 30;Ariston;$ 38978.68;50%;$ 19489.34
51923;memantine;TONIBRAL XR;28 mg cáps.x 30;Ariston;$ 45518.29;50%;$ 22759.15
44805;mesalazina;5XR 500;500 mg comp.x 100;Ariston;$ 98255.66;50%;$ 49127.83
44804;mesalazina;5XR 500;500 mg comp.x 50;Ariston;$ 57831.25;50%;$ 28915.63
41465;mirtazapina;TETRAZIC;30 mg comp.x 30;Ariston;$ 29950.75;50%;$ 14975.38
52079;modafinilo;VISPER;200 mg comp.x 15;Ariston;$ 25442.57;50%;$ 12721.29
52080;modafinilo;VISPER;200 mg comp.x 30;Ariston;$ 48270.95;50%;$ 24135.48
48608;naltrexona;NALCOTREX;50 mg comp.x 30;Ariston;$ 141367.8;50%;$ 70683.9
45108;otilonio,bromuro;BROMOTIL;40 mg comp.x 20;Ariston;$ 10426.94;50%;$ 5213.47
45109;otilonio,bromuro;BROMOTIL;40 mg comp.x 60;Ariston;$ 22032.71;50%;$ 11016.36
50973;paroxetina;OPTIPAR;20 mg comp.rec.x 30;Ariston;$ 24221.99;50%;$ 12111
52612;pregabalina;PREBIEN 150 DIVIDOSIS;150 mg comp.birran.x 30;Ariston;$ 36951.7;50%;$ 18475.85
47646;pregabalina;PREBIEN;150 mg cáps.x 28;Ariston;$ 42116.35;50%;$ 21058.18
49127;pregabalina;PREBIEN 75 DIVIDOSIS;75 mg comp.birran.x 30;Ariston;$ 31055.34;50%;$ 15527.67
47645;pregabalina;PREBIEN;75 mg cáps.x 28;Ariston;$ 25771.7;50%;$ 12885.85
49996;rifaximina;RIFAXTRIL;200 mg comp.x 20;Ariston;$ 15954.8;50%;$ 7977.4
49997;rifaximina;RIFAXTRIL;200 mg comp.x 40;Ariston;$ 31731.48;50%;$ 15865.74
54988;rifaximina;RIFAXTRIL;550 mg comp.x 10;Ariston;$ 22340.67;50%;$ 11170.34
54989;rifaximina;RIFAXTRIL;550 mg comp.x 30;Ariston;$ 57601.24;50%;$ 28800.62
54990;rifaximina;RIFAXTRIL;550 mg comp.x 60;Ariston;$ 98288.93;50%;$ 49144.47
43134;tamsulosina;UROPROST-Q;0.4 mg cáps.x 30;Ariston;$ 28210.51;50%;$ 14105.26
43135;tamsulosina;UROPROST-Q;0.4 mg cáps.x 60;Ariston;$ 46242.97;50%;$ 23121.49
50972;tióctico,ác.;AT 600;600 mg comp.rec.x 30;Ariston;$ 747.93;50%;$ 373.97
49136;tramadol;ANA-Q;50 mg comp.x 30;Ariston;$ 16824.02;50%;$ 8412.01
48495;trifluoperazina;CUAIT TRIFLUOPERAZINA;10 mg comp.x 30;Ariston;$ 16234.71;50%;$ 8117.36
48044;troxerrutina+escina;TUBARINE 1000;comp.x 30;Ariston;$ 27663.81;50%;$ 13831.91
38306;troxerrutina+escina;TUBARINE GEL;pomo x 50 g;Ariston;$ 12542.72;50%;$ 6271.36
